,Open,close,high,low,volume
2020-08-18,63100.0,57500.0,63800.0,56600.0,690192.0
2020-08-14,64300.0,63300.0,65400.0,63200.0,385093.0
2020-08-13,63000.0,65700.0,67000.0,62100.0,1069341.0
2020-08-12,62200.0,62900.0,64000.0,61400.0,472173.0
2020-08-11,61300.0,62600.0,66300.0,61000.0,1066196.0
2020-08-10,63500.0,62200.0,74000.0,59100.0,3286285.0
2020-08-07,65700.0,65100.0,65700.0,61000.0,369902.0
2020-08-06,71700.0,63000.0,72000.0,62900.0,955942.0
2020-08-05,70000.0,70900.0,70900.0,70000.0,526200.0
2020-08-04,49800.0,54600.0,59100.0,47650.0,6240654.0
2020-08-03,44350.0,49300.0,53400.0,44300.0,5989647.0
2020-07-31,42300.0,42200.0,45550.0,41250.0,2732685.0
2020-07-30,41450.0,41900.0,43000.0,40650.0,1190132.0
2020-07-29,44050.0,41850.0,44500.0,41250.0,2501803.0
2020-07-28,35700.0,46200.0,46200.0,35700.0,5604461.0
2020-07-27,35150.0,35550.0,36150.0,35150.0,164642.0
2020-07-24,35050.0,35150.0,36150.0,34750.0,226232.0
2020-07-23,34350.0,35250.0,35500.0,33700.0,201297.0
2020-07-22,34850.0,34600.0,35150.0,34400.0,104472.0
2020-07-21,35050.0,34950.0,35550.0,34900.0,114255.0
2020-07-20,35350.0,35000.0,35600.0,34750.0,101088.0
2020-07-17,36000.0,35400.0,36050.0,35100.0,93470.0
2020-07-16,34400.0,35700.0,35750.0,34250.0,200685.0
2020-07-15,34650.0,34400.0,35000.0,34200.0,90716.0
2020-07-14,34500.0,34600.0,34950.0,34050.0,136042.0
2020-07-13,35000.0,34200.0,35200.0,34200.0,110627.0
2020-07-10,36100.0,35000.0,36400.0,34350.0,281004.0
2020-07-09,33450.0,34550.0,35800.0,32700.0,320874.0
2020-07-08,34300.0,33400.0,34300.0,33100.0,92493.0
2020-07-07,34650.0,33900.0,34700.0,33750.0,85309.0
2020-07-06,34200.0,34200.0,34800.0,33450.0,111667.0
2020-07-03,33000.0,34100.0,34500.0,33000.0,94849.0
2020-07-02,32550.0,33100.0,33650.0,32550.0,89631.0
2020-07-01,33750.0,32700.0,33900.0,32600.0,132127.0
2020-06-30,34400.0,33300.0,34600.0,33300.0,161275.0
2020-06-29,35400.0,33900.0,35400.0,33800.0,198495.0
2020-06-26,34450.0,35400.0,36200.0,34450.0,251092.0
2020-06-25,34650.0,34350.0,35350.0,34200.0,188035.0
2020-06-24,35450.0,35000.0,35850.0,35000.0,239074.0
2020-06-23,36050.0,35400.0,36500.0,34950.0,300758.0
2020-06-22,36700.0,36000.0,37900.0,35850.0,353841.0
2020-06-19,39100.0,37100.0,39400.0,37100.0,470556.0
2020-06-18,40050.0,39150.0,41300.0,38450.0,1473533.0
2020-06-17,35600.0,38200.0,38600.0,34450.0,980017.0
2020-06-16,34800.0,36000.0,38100.0,34250.0,873943.0
2020-06-15,32400.0,33800.0,37500.0,32000.0,1531992.0
2020-06-12,32850.0,32900.0,33650.0,32800.0,271214.0
2020-06-11,33700.0,34700.0,35750.0,33150.0,537516.0
2020-06-10,33850.0,33750.0,34650.0,33650.0,182970.0
2020-06-09,34200.0,33850.0,34850.0,33250.0,227681.0
2020-06-08,33500.0,34200.0,35250.0,32950.0,597633.0
2020-06-05,29400.0,33050.0,35750.0,29400.0,925171.0
2020-06-04,30450.0,29600.0,30500.0,29350.0,113510.0
2020-06-03,29050.0,29600.0,30550.0,29000.0,309526.0
2020-06-02,27700.0,28850.0,28950.0,27700.0,161780.0
2020-06-01,27200.0,28100.0,28150.0,27200.0,100247.0
2020-05-29,27700.0,27450.0,27850.0,27350.0,69244.0
2020-05-28,28150.0,27750.0,28200.0,27600.0,134899.0
